,state,district,stunting_range,uw_range,wasting_range,District_Name
226,KARNATAKA,BELLARY,1,1,1,BELLARY
227,KARNATAKA,CHITRADURGA,0.5,0.5,1,CHITRADURGA
228,KARNATAKA,DAVANAGERE,1,1,0.5,DAVANGERE
229,KARNATAKA,SHIMOGA,0.5,0.5,0,SHIMOGA
230,KARNATAKA,UDUPI,0,0.5,0.5,UDUPI
231,KARNATAKA,CHIKMAGALUR,0,0.5,0.5,CHIKMAGALUR
232,KARNATAKA,TUMKUR,0.5,0.5,1,TUMKUR
233,KARNATAKA,BANGALORE,0.5,0.5,1,BENGALURU URBAN
234,KARNATAKA,MANDYA,0,0.5,0.5,MANDYA
235,KARNATAKA,HASSAN,0.5,0.5,0.5,HASSAN
236,KARNATAKA,DAKSHINA KANNADA,0,0.5,0.5,DAKSHIN KANNAD
237,KARNATAKA,KODAGU,0.5,0.5,0.5,KODAGU
238,KARNATAKA,MYSORE,0.5,0.5,0.5,MYSORE
239,KARNATAKA,CHAMARAJANAGAR,0.5,0.5,0.5,CHAMARAJANAGAR
240,KARNATAKA,GULBARGA,1,1,1,GULBARGA
241,KARNATAKA,YADGIR,1,1,1,YADGIR
242,KARNATAKA,KOLAR,0.5,0.5,0.5,KOLAR
243,KARNATAKA,CHIKKABALLAPURA,0.5,0.5,0.5,CHIKBALLAPUR
244,KARNATAKA,BANGALORE RURAL,0.5,0.5,0.5,BANGALORE RURAL
245,KARNATAKA,RAMANAGARA,0,0.5,0.5,RAMANAGARA
246,KERALA,KASARAGOD,0,0,0,KASARAGOD
247,KERALA,KANNUR,0.5,0,0,KANNUR
248,KERALA,WAYANAD,0.5,0.5,0.5,WAYANAD
249,KERALA,KOZHIKODE,0,0,0,KOZHIKODE
250,KERALA,MALAPPURAM,0.5,0,0.5,MALAPPURAM
251,KERALA,PALAKKAD,0,0,0,PALAKKAD
252,KERALA,THRISSUR,0,0,0.5,THRISSUR
253,KERALA,ERNAKULAM,0,0,0.5,ERNAKULAM
254,KERALA,IDUKKI,0,0,0.5,IDUKKI
255,KERALA,KOTTAYAM,0,0,0.5,KOTTAYAM
256,KERALA,ALAPPUZHA,0,0,0.5,ALAPPUZHA
257,KERALA,PATHANAMTHITTA,0,0,0,PATHANAMTHITTA
258,KERALA,KOLLAM,0,0,0.5,KOLLAM
259,KERALA,THIRUVANANTHAPURAM,0,0.5,0,THIRUVANANTHAPURAM
260,MADHYA PRADESH,SHEOPUR,1,1,1,SHEOPUR
261,MADHYA PRADESH,MORENA,1,1,1,MORENA
262,MADHYA PRADESH,BHIND,1,1,1,BHIND
263,MADHYA PRADESH,GWALIOR,1,1,1,GWALIOR
264,MADHYA PRADESH,DATIA,1,1,1,DATIA
265,MADHYA PRADESH,SHIVPURI,1,1,1,SHIVPURI
266,MADHYA PRADESH,TIKAMGARH,1,1,0.5,TIKAMGARH
267,MADHYA PRADESH,CHHATARPUR,1,1,0.5,CHHATARPUR
268,MADHYA PRADESH,PANNA,1,1,0.5,PANNA
269,MADHYA PRADESH,SAGAR,1,0.5,0.5,SAGAR
270,MADHYA PRADESH,DAMOH,1,0.5,0.5,DAMOH
271,MADHYA PRADESH,SATNA,1,0.5,1,SATNA
272,MADHYA PRADESH,REWA,1,0.5,0.5,REWA
273,MADHYA PRADESH,UMARIA,1,1,1,UMARIA
274,MADHYA PRADESH,NEEMUCH,0.5,0.5,0.5,NEEMUCH
275,MADHYA PRADESH,MANDSAUR,0.5,0.5,0.5,MANDSAUR
276,MADHYA PRADESH,RATLAM,1,1,0.5,RATLAM
277,MADHYA PRADESH,UJJAIN,0.5,0.5,0.5,UJJAIN
278,MADHYA PRADESH,SHAJAPUR,1,1,1,SHAJAPUR
279,MADHYA PRADESH,DEWAS,1,1,1,DEWAS
280,MADHYA PRADESH,DHAR,1,1,1,DHAR
281,MADHYA PRADESH,INDORE,0.5,0.5,0.5,INDORE
282,MADHYA PRADESH,KHARGONE (WEST NIMAR),1,1,0.5,KHARGONE
283,MADHYA PRADESH,BARWANI,1,1,1,BARWANI
284,MADHYA PRADESH,RAJGARH,0.5,1,1,RAJGARH
285,MADHYA PRADESH,VIDISHA,1,1,0.5,VIDISHA
286,MADHYA PRADESH,BHOPAL,1,0.5,0.5,BHOPAL
287,MADHYA PRADESH,SEHORE,0.5,0.5,1,SEHORE
288,MADHYA PRADESH,RAISEN,1,1,0.5,RAISEN
289,MADHYA PRADESH,BETUL,0.5,1,1,BETUL
290,MADHYA PRADESH,HARDA,0.5,1,1,HARDA
291,MADHYA PRADESH,HOSHANGABAD,0.5,1,1,HOSHANGABAD
292,MADHYA PRADESH,KATNI,1,1,0.5,KATNI
293,MADHYA PRADESH,JABALPUR,0.5,1,1,JABALPUR
294,MADHYA PRADESH,NARSIMHAPUR,0.5,0.5,0.5,NARSINGHPUR
295,MADHYA PRADESH,DINDORI,1,1,1,DINDORI
296,MADHYA PRADESH,MANDLA,0.5,1,1,MANDLA
297,MADHYA PRADESH,CHHINDWARA,0.5,1,1,CHHINDWARA
298,MADHYA PRADESH,SEONI,0.5,1,1,SEONI
299,MADHYA PRADESH,BALAGHAT,0.5,1,1,BALAGHAT
300,MADHYA PRADESH,GUNA,1,1,1,GUNA
301,MADHYA PRADESH,ASHOKNAGAR,1,1,1,ASHOKNAGAR
302,MADHYA PRADESH,SHAHDOL,0.5,1,1,SHAHDOL
303,MADHYA PRADESH,ANUPPUR,0.5,0.5,1,ANUPPUR
304,MADHYA PRADESH,SIDHI,1,1,0.5,SIDHI
305,MADHYA PRADESH,SINGRAULI,0.5,0.5,1,SINGRAULI
306,MADHYA PRADESH,JHABUA,1,1,0.5,JHABUA
307,MADHYA PRADESH,ALIRAJPUR,1,1,1,ALIRAJPUR
308,MADHYA PRADESH,KHANDWA (EAST NIMAR),1,1,0.5,KHANDWA
309,MADHYA PRADESH,BURHANPUR,1,1,0.5,BURHANPUR
310,MAHARASHTRA,NANDURBAR,1,1,1,NANDURBAR
311,MAHARASHTRA,DHULE,0.5,1,1,DHULE
312,MAHARASHTRA,JALGAON,0.5,0.5,1,JALGAON
313,MAHARASHTRA,BULDANA,1,1,0.5,BULDHANA
314,MAHARASHTRA,AKOLA,1,0.5,0.5,AKOLA
315,MAHARASHTRA,WASHIM,1,1,1,WASHIM
316,MAHARASHTRA,AMRAVATI,0.5,0.5,0.5,AMRAVATI
317,MAHARASHTRA,WARDHA,0.5,0.5,1,WARDHA
318,MAHARASHTRA,NAGPUR,0.5,0.5,1,NAGPUR
319,MAHARASHTRA,BHANDARA,1,0.5,0.5,BHANDARA
320,MAHARASHTRA,GONDIYA,0.5,1,1,GONDIA
321,MAHARASHTRA,GADCHIROLI,0.5,1,1,GADCHIROLI
322,MAHARASHTRA,CHANDRAPUR,0.5,1,1,CHANDRAPUR
323,MAHARASHTRA,YAVATMAL,1,1,1,YAVATMAL
324,MAHARASHTRA,NANDED,1,0.5,0.5,NANDED
325,MAHARASHTRA,HINGOLI,0.5,0.5,0.5,HINGOLI
326,MAHARASHTRA,PARBHANI,1,1,0.5,PARBHANI
327,MAHARASHTRA,JALNA,1,1,0.5,JALNA
328,MAHARASHTRA,AURANGABAD,0.5,0.5,0.5,AURANGABAD
329,MAHARASHTRA,NASHIK,1,1,1,NASHIK
330,MAHARASHTRA,THANE,0.5,1,1,THANE
331,MAHARASHTRA,MUMBAI SUBURBAN,0,0.5,0.5,MUMBAI SUBURBAN
332,MAHARASHTRA,MUMBAI,0.5,0.5,1,MUMBAI
333,MAHARASHTRA,RAIGARH,0.5,0.5,1,RAIGARH
334,MAHARASHTRA,PUNE,0,0.5,0.5,PUNE
335,MAHARASHTRA,AHMADNAGAR,0.5,0.5,0.5,AHMEDNAGAR
336,MAHARASHTRA,BID,0.5,0.5,1,BEED
337,MAHARASHTRA,LATUR,0.5,0.5,0.5,LATUR
338,MAHARASHTRA,OSMANABAD,1,1,0.5,OSMANABAD
339,MAHARASHTRA,SOLAPUR,0.5,0.5,0.5,SOLAPUR
340,MAHARASHTRA,SATARA,0,0.5,0.5,SATARA
341,MAHARASHTRA,RATNAGIRI,0.5,0.5,0.5,RATNAGIRI
